Krajina,Kód,Hlavné mesto,Obyvateľské meno,Prídavné meno,Mena,Continent,Colour,CapitalLatitude,CapitalLongitude
Spojené štáty,US,Washington,"Američan, Američanka",americký,americký dolár,North America,3,38.883333,-77.0
Srbsko,RS,Belehrad,"Srb, Srbka",srbský,srbský dinár,Europe,2,44.83333333333334,20.5
Srí Lanka,LK,Šrí Džajavardanapura Kotte,"Srílančan, Srílančanka",srílanský,srílanská rupia,Asia,6,6.916666666666668,79.833333
Stredoafrická republika,CF,Bangui,"Stredoafričan, Stredoafričanka",stredoafrický,frank CFA,Africa,5,4.366666666666666,18.583333
Sudán,SD,Chartúm,"Sudánec, Sudánka",sudánsky,sudánska libra,Africa,5,15.6,32.533333
Surinam,SR,Paramaribo,"Surinamčan, Surinamčanka",surinamský,surinamský dolár,South America,4,5.833333333333332,-55.166667000000004
Svalbard a Jan Mayen,SJ,"Longyearbyen , Olonkinbyen","obyvateľ, obyvateľka Svalbardu,  obyvateľ, obyvateľka Jana Mayena","zo Svalbardu, z Jana Mayena",nórska koruna,Europe,2,78.21666666666667,15.633332999999999
"Svätá Helena, Ascension a Tristan da Cunha",SH,Jamestown,"obyvateľ, obyvateľka Svätej Heleny, Ascensionu a Tristanu da Cunha","zo Svätej Heleny, Ascensionu a Tristanu da Cunha",svätohelenská libra/libra šterlingov,Africa,5,-15.933333333333335,-5.716667
Svätá Lucia,LC,Castries,"Svätolucijčan, Svätolucijčanka",svätolucijský,východokaribský dolár,North America,3,14.0,-61.0
Svätá stolica/ Vatikánsky mestský štát,VA,—/Vatikán,"obyvateľ, obyvateľka Svätej stolice/  obyvateľ, obyvateľka Vatikánu",zo Svätej stolice/vatikánsky,euro,Europe,2,41.9,12.45
Svätý Bartolomej,BL,Gustavia,"obyvateľ, obyvateľka Svätého Bartolomeja",zo Svätého Bartolomeja,euro,North America,3,17.883333333333333,-62.85
Svätý Krištof a Nevis,KN,Basseterre,"Svätokrištofčan a Nevisan, Svätokrištofčanka a Nevisanka",svätokrištofský a neviský,východokaribský dolár,North America,3,17.3,-62.716667
Svätý Martin,SX,Philipsburg,"obyvateľ, obyvateľka Svätého Martina",zo Svätého Martina,antilský gulden,North America,3,18.016666666666666,-63.033333
Svätý Tomáš a Princov ostrov,ST,Svätý Tomáš,"Svätotomášan, Svätotomášanka",svätotomášsky,dobra,Africa,5,0.3333333333333333,6.733333
Svätý Vincent a Grenadíny,VC,Kingstown,"obyvateľ, obyvateľka Svätého Vincenta a Grenadín",zo Svätého Vincenta a Grenadín,východokaribský dolár,North America,3,13.133333333333333,-61.216667
Sýria,SY,Damask,"Sýrčan, Sýrčanka",sýrsky,sýrska libra,Asia,6,33.5,36.3
